5,3.9973000000000063,['C1'],4.0,0.8,0.19052791595458984,[0.8]
5,3.9972000000000065,['C3'],4.0,0.8,2.5713143348693848,[0.8]
5,3.997000000000007,"['C1', 'C3']",4.0,0.8,0.29991650581359863,"[0.4, 0.4]"
8,3.9955000000000105,['C1'],4.0,0.5,0.1497187614440918,[0.5]
8,3.9971000000000068,['C3'],4.0,0.5,1.4400930404663086,[0.5]
8,3.997500000000006,"['C1', 'C3']",4.0,0.5,0.680201530456543,"[0.375, 0.125]"
10,3.996100000000009,['C1'],4.0,0.4,0.24609112739562988,[0.4]
10,3.9972000000000065,['C3'],4.0,0.4,1.5395123958587646,[0.4]
10,3.996200000000009,"['C1', 'C3']",4.0,0.4,0.31025028228759766,"[0.4, 0.0]"

