21,['C1'],0.38095238095238093,1.766852617263794
21,"['C1', 'C2', 'C3']",0.38095238095238093,5.298420667648315
22,['C1'],0.36363636363636365,19.90632390975952
22,"['C1', 'C2', 'C3']",0.36363636363636365,5.982508659362793
23,['C1'],0.34782608695652173,65.35115027427673
23,"['C1', 'C2', 'C3']",0.34782608695652173,9.875608444213867
24,['C1'],0.3333333333333333,7.998932361602783
24,"['C1', 'C2', 'C3']",0.3333333333333333,28.03485894203186
25,['C1'],0.32,32.526466608047485
25,"['C1', 'C2', 'C3']",0.32,46.489638328552246
26,['C1'],0.3076923076923077,8.553102254867554
26,"['C1', 'C2', 'C3']",0.3076923076923077,9.86143946647644
27,['C1'],0.2962962962962963,34.23546028137207
27,"['C1', 'C2', 'C3']",0.2962962962962963,54.37428140640259
28,['C1'],0.2857142857142857,15.77932095527649
28,"['C1', 'C2', 'C3']",0.2857142857142857,9.367242813110352
29,['C1'],0.27586206896551724,15.90603494644165
29,"['C1', 'C2', 'C3']",0.27586206896551724,38.08515286445618
30,['C1'],0.26666666666666666,14.730690479278564
30,"['C1', 'C2', 'C3']",0.26666666666666666,39.42551040649414
